species	max_distance	mean_distance	std_distance	quartile_75_distance	quartile_25_distance	max_length	min_length
Agrobacterium fabrum	0.0202797	0.013202311111111111	0.009908624762605107	0.0198862	0.0	5674258.0	5416317.0
Agrobacterium larrymoorei	0.0	0.0		0.0	0.0	5259126.0	5259126.0
Agrobacterium radiobacter	0.0	0.0		0.0	0.0	7273300.0	7273300.0
Agrobacterium rhizogenes	0.0	0.0		0.0	0.0	5482241.0	5482241.0
Agrobacterium sp.	0.0	0.0		0.0	0.0	4964647.0	4964647.0
Agrobacterium tumefaciens	0.12571500000000002	0.08847463128571428	0.03887767883060652	0.110193	0.0943778	6469646.0	5446032.0
Agrobacterium vitis	0.0	0.0		0.0	0.0	6320946.0	6320946.0
Agromyces aureus	0.0	0.0		0.0	0.0	4373124.0	4373124.0
Agromyces sp.	0.182269	0.11385355555555557	0.08578066601238171	0.170926	0.0	4088319.0	3052052.0
Ahniella affigens	0.0	0.0		0.0	0.0	6120935.0	6120935.0
Akkermansia glycaniphila	0.0	0.0		0.0	0.0	3074078.0	3074078.0
Akkermansia muciniphila	0.0260597	0.0155845742952741	0.00864683312822542	0.0237537	0.00800497	2860407.0	2663833.0
Alcaligenes aquatilis							
Alcaligenes faecalis	0.12101	0.05996218071020409	0.044533043876283276	0.0867434	0.0151872	4248684.0	3866803.0
Alcanivorax borkumensis							
Alcanivorax dieselolei	0.0	0.0		0.0	0.0	4928223.0	4928223.0
Alcanivorax pacificus	0.0	0.0		0.0	0.0	4168427.0	4168427.0
Alcanivorax sp.							
Alcanivorax xenomutans	0.0	0.0		0.0	0.0	4733951.0	4733951.0
Algibacter alginicilyticus	0.0	0.0		0.0	0.0	3994770.0	3994770.0
Algoriphagus sp.	0.0	0.0		0.0	0.0	3882610.0	3882610.0
Alicycliphilus denitrificans	0.0129198	0.0064599	0.007459250007876127	0.0129198	0.0	5070751.0	4835713.0
Alicyclobacillus acidocaldarius	0.07406979999999999	0.037034899999999996	0.04276421896882174	0.07406979999999999	0.0	3205686.0	3124048.0
Aliivibrio fischeri	0.0	0.0		0.0	0.0	4273718.0	4273718.0
Aliivibrio salmonicida	0.00291212	0.00145606	0.001681313265912493	0.00291212	0.0	4760779.0	4655660.0
Aliivibrio wodanis	0.0	0.0		0.0	0.0	4635126.0	4635126.0
Alistipes finegoldii	0.0	0.0		0.0	0.0	3734239.0	3734239.0
Alistipes sp.	0.0	0.0		0.0	0.0	3270862.0	3270862.0
Alkalilimnicola ehrlichii	0.0	0.0		0.0	0.0	3275944.0	3275944.0
Alkaliphilus metalliredigens	0.0	0.0		0.0	0.0	4929566.0	4929566.0
Alkaliphilus oremlandii	0.0	0.0		0.0	0.0	3123558.0	3123558.0
Alkalitalea saponilacus	0.0	0.0		0.0	0.0	4775573.0	4775573.0
Alloactinosynnema sp.	0.0	0.0		0.0	0.0	7405112.0	7405112.0
Allochromatium vinosum	0.0	0.0		0.0	0.0	3669074.0	3669074.0
Allofrancisella guangzhouensis	0.0	0.0		0.0	0.0	1661527.0	1661527.0
Alphaproteobacteria bacterium	0.0	0.0		0.0	0.0	4356607.0	4356607.0
