taxonId,superkingdom,genus,species
1016852,10239,10652,1016852
1016853,10239,10652,1016853
1016854,10239,10652,1016854
1016855,10239,10652,1016855
1016856,10239,10652,1016856
1016857,10239,10652,1016857
1016879,10239,1678142,1678147
101688,10239,310684,101688
1016987,2,165696,1016987
1016998,2,590,28901
1017,2,1016,1017
1017264,2,517,520
1017266,2,1357,1363
1017270,2,1329200,1017270
1017273,2,1433999,1017273
1017277,2,33986,1017277
1017319,2,1827,1017319
101764,10239,12163,101764
1018,2,1016,1018
101850,10239,558016,101850
1019,2,1016,1019
102,2,52959,102
102125,2,52607,102125
102127,2,63132,102127
102129,2,47251,102129
102148,2,123375,102148
102232,2,102231,102232
10243,10239,10242,10243
10245,10239,10242,10245
10255,10239,10242,10255
10256,10239,10242,10256
10258,10239,10257,10258
102608,2,209,210
10261,10239,10260,10261
102611,2,209,210
102616,2,209,210
102617,2,209,210
102618,2,209,210
10264,10239,10260,10264
10266,10239,10265,10266
102684,2,1301,102684
1026882,2,40222,230105
1026955,10239,,1026955
10271,10239,10270,10271
1027232,10239,,1027232
1027244,10239,249588,1027244
1027245,10239,249588,1027245
1027247,10239,249588,1027247
1027248,10239,249588,1027248
1027249,2,74385,1027249
1027253,10239,,1027253
1027273,2,305899,1027273
1027292,2,1569,759851
10273,10239,10270,10273
1027360,2,635,67780
1027364,2,635,636
1027371,2,2053,84096
1027372,2,1350,1351
1027396,2,1637,1639
1027397,2,551,552
1027468,10239,,1027468
10276,10239,10275,10276
1027620,2,1839,1027620
1027633,2,1164863,1027633
1027869,10239,12051,1027869
1027880,10239,12148,1027880
1027947,10239,,1027947
1028,2,869806,1028
10280,10239,10278,10279
1028307,2,570,548
1028414,2,497,1028414
1028416,2,497,1028416
1028490,2,1578,1589
102862,2,583,102862
1028729,2759,5506,101028
1028742,2,361177,1028742
1028743,2,178469,1028743
1028746,2,292691,1028746
1028752,2,22,1028752
1028799,2,1279,1280
10288,10239,10286,10288
1028800,2,1525371,399
1028801,2,1525371,399
1028802,2,724,726
1028803,2,724,726
1028804,2,724,726
102891,2,1854,102891
102897,2,1854,102897
1028989,2,286,1028989
10291,10239,,10291
10295,10239,10294,10295
1029718,2,49082,49118
1029756,2,81,1427356
10298,10239,10294,10298
1029812,2,1763,1764
1029813,2,1763,1764
1029814,2,1763,1764
1029815,2,1763,1764
1029816,2,1763,1764
1029817,2,1763,1764
1029818,2,1763,1764
1029819,2,1763,1764
1029820,2,1763,1764
1029821,2,1763,1764
1029822,2,1578,1624
1029823,2,469,1029823
1029824,2,57493,72000
1029825,2,234,29459
1029978,2,590,28901
1029979,2,590,28901
1029980,2,590,28901
1029981,2,590,28901
1029982,2,590,28901
1029983,2,590,28901
1029984,2,590,28901
1029985,2,590,28901
1029986,2,590,28901
1029988,10239,2169623,2169883
1029989,2,590,28901
1029996,2,590,28901
1029997,2,590,28901
1029998,2,590,28901
1029999,2,590,28901
1030000,2,590,28901
1030001,2,590,28901
1030002,2,590,28901
1030003,2,590,28901
1030004,2,590,28901
1030005,2,590,28901
1030006,2,590,28901
1030007,2,590,28901
1030009,2,1637,1639
1030092,2,1386,1030092
1030145,2,286,29442
1030157,2,13687,1030157
1030529,2,44249,1030529
1030533,2,1883,1030533
1030595,10239,10812,1030595
1030841,2,482,607711
1030842,2,1263,1265
1030843,2,836,837
10310,10239,10294,10310
1031224,2,79328,1031224
1031288,2,44258,1031288
1031535,2,209,210
1031536,2,194,201
1031537,2,265487,1031537
1031538,2,75687,1031538
1031541,2,599652,1031541
1031542,2,194,1031542
1031564,2,194,260714
1031594,2,1434001,1031594
10317,10239,10294,10317
1031708,10239,12163,1031708
1031709,2,1912216,1747
1031710,2,40136,40137
1031711,2,48736,305
1031746,2,194,198
1031752,2,194,198
1031753,2,194,75658
1031754,2,194,206
1031920,2,194,206
10320,10239,10319,10320
1032066,2,194,206
1032069,2,194,827
1032070,2,28196,28198
1032071,2,28196,28198
1032072,2,28196,1032072
1032238,2,28196,603050
1032239,2,28196,28200
1032240,2,28196,544718
1032241,2,28196,708186
103232,2,1883,103232
1032362,10239,,1032362
1032457,10239,12234,1032457
1032473,10239,,1032473
1032474,10239,1298634,1032474
1032478,10239,10814,1032478
1032480,2,29404,29405
1032488,2,482,607712
10325,10239,10294,10325
1032505,2,848,1032505
1032506,2,838,1032506
10326,10239,10319,10326
1032623,2,1249016,1032623
1032845,2,780,226665
1032869,2,745,747
1032891,10239,186764,1032891
1032892,10239,186764,1032892
1032893,10239,1623292,1032893
1032895,10239,186764,1993873
10331,10239,10319,10331
10334,10239,10319,10334
10335,10239,10319,10335
1033730,2,2040,1464554
1033731,2,239759,1465754
1033732,2,239759,1288121
1033733,2,165779,1288120
1033734,2,1386,1033734
1033736,2,1696,1033736
1033737,2,1485,1465809
1033738,2,1649,1033738
1033739,2,1649,1033739
1033740,2,1649,1033740
1033741,2,186650,1033741
1033743,2,44249,1465766
1033744,2,162289,1465757
1033802,2,180541,180542
1033810,2,471824,471825
1033813,2,561,562
1033837,2,1578,267818
1033846,2,2742,1033846
1033854,2,106633,1033854
1033900,2,59732,1033900
1033922,2,1827,1033922
